name, latitude, longitude
activity, -27.6948165, -48.4941444, 2023-04-22T22:53:29.643Z
activity, -27.6962356, -48.4995841, 2023-04-22T22:53:29.643Z
activity, -27.6970233, -48.4997558, 2023-04-22T22:53:29.643Z
activity, -27.6970214, -48.4997558, 2023-04-22T23:19:46.508Z
activity, -27.7027454, -48.5006103, 2023-04-22T23:19:46.508Z
activity, -27.7024135, -48.4979629, 2023-04-22T23:19:46.508Z
activity, -27.6948165, -48.4941444, 2023-04-23T13:33:36.480Z
activity, -27.6962261, -48.4995803, 2023-04-23T13:33:36.480Z
activity, -27.6970062, -48.499752, 2023-04-23T13:33:36.480Z
activity, -27.6970252, -48.4997558, 2023-04-23T13:54:14Z
activity, -27.6949119, -48.4993133, 2023-04-23T13:54:14Z
activity, -27.6946907, -48.4951362, 2023-04-23T13:54:14Z
activity, -27.6948165, -48.4941444, 2023-04-23T14:40:25.455Z
activity, -27.6961517, -48.4995651, 2023-04-23T14:40:25.455Z
activity, -27.6968555, -48.4997177, 2023-04-23T14:40:25.455Z
activity, -27.6960639, -48.499546, 2023-04-23T16:56:16.107Z
activity, -27.6513843, -48.4789314, 2023-04-23T16:56:16.107Z
activity, -27.6376323, -48.473236, 2023-04-23T16:56:16.107Z
activity, -27.6377296, -48.4732513, 2023-04-23T19:24:53.942Z
activity, -27.6069869, -48.4827384, 2023-04-23T19:24:53.942Z
activity, -27.653078, -48.4797439, 2023-04-23T19:24:53.942Z
activity, -27.6570835, -48.4859695, 2023-04-23T19:24:53.942Z
activity, -27.6105995, -48.538105, 2023-04-23T19:24:53.942Z
activity, -27.5962543, -48.5579643, 2023-04-23T19:24:53.942Z
activity, -27.6111297, -48.5373725, 2023-04-23T19:24:53.942Z
activity, -27.6970252, -48.4997558, 2023-04-23T19:24:53.942Z
activity, -27.6970214, -48.4997558, 2023-04-25T19:51:21.143Z
activity, -27.6945514, -48.5000228, 2023-04-25T19:51:21.143Z
activity, -27.6899108, -48.4986763, 2023-04-25T19:51:21.143Z
activity, -27.6886634, -48.4983444, 2023-04-25T19:51:21.143Z
activity, -27.6848487, -48.5029144, 2023-04-25T19:51:21.143Z
activity, -27.6804828, -48.5096817, 2023-04-25T19:51:21.143Z
activity, -27.6818523, -48.5146598, 2023-04-25T19:51:21.143Z
activity, -27.5932579, -48.5149459, 2023-04-25T19:51:21.143Z
activity, -27.590517, -48.5096588, 2023-04-25T19:51:21.143Z
activity, -27.5907592, -48.5088653, 2023-04-25T22:29:45.877Z
activity, -27.6023082, -48.5263633, 2023-04-25T22:29:45.877Z
activity, -27.6266002, -48.5246315, 2023-04-25T22:29:45.877Z
activity, -27.6606369, -48.5287017, 2023-04-25T22:29:45.877Z
activity, -27.6824874, -48.5049781, 2023-04-25T22:29:45.877Z
activity, -27.6947822, -48.5001716, 2023-04-25T22:29:45.877Z
activity, -27.6968059, -48.4997062, 2023-04-25T22:29:45.877Z
activity, -27.6969566, -48.4997406, 2023-04-25T23:13:25Z
activity, -27.7027454, -48.5006103, 2023-04-25T23:13:25Z
activity, -27.7022876, -48.498661, 2023-04-25T23:13:25Z
activity, -27.6969566, -48.4997406, 2023-04-26T22:30:35.592Z
activity, -27.6953334, -48.4993972, 2023-04-26T22:30:35.592Z
activity, -27.6949577, -48.4983329, 2023-04-26T22:30:35.592Z
activity, -27.7004222, -48.494812, 2023-04-26T22:30:35.592Z
activity, -27.7024364, -48.4965019, 2023-04-26T22:30:35.592Z
activity, -27.7024097, -48.4964714, 2023-04-27T01:50:30.221Z
activity, -27.699707, -48.5003471, 2023-04-27T01:50:30.221Z
activity, -27.6968421, -48.4997138, 2023-04-27T01:50:30.221Z
activity, -27.6973514, -48.4998245, 2023-04-27T20:57:48.691Z
activity, -27.6953334, -48.4993972, 2023-04-27T20:57:48.691Z
activity, -27.6937732, -48.5053443, 2023-04-27T20:57:48.691Z
activity, -27.6946735, -48.5105094, 2023-04-27T20:57:48.691Z
activity, -27.6871433, -48.5098876, 2023-04-27T20:57:48.691Z
activity, -27.6875228, -48.5099678, 2023-04-27T21:30:18.381Z
activity, -27.6809978, -48.5097999, 2023-04-27T21:30:18.381Z
activity, -27.6786594, -48.5083122, 2023-04-27T21:30:18.381Z
activity, -27.6899757, -48.4987106, 2023-04-27T21:30:18.381Z
activity, -27.6968631, -48.4997215, 2023-04-27T21:30:18.381Z
activity, -27.7021503, -48.4971618, 2023-04-29T01:28:36.168Z
activity, -27.6998023, -48.5003662, 2023-04-29T01:28:36.168Z
activity, -27.697031, -48.4997558, 2023-04-29T01:28:36.168Z
activity, -27.6970462, -48.4997596, 2023-04-29T10:51:31.126Z
activity, -27.6931228, -48.4990577, 2023-04-29T10:51:31.126Z
activity, -27.678585, -48.508377, 2023-04-29T10:51:31.126Z
activity, -27.5932579, -48.5149459, 2023-04-29T10:51:31.126Z
activity, -27.4998798, -48.5142135, 2023-04-29T10:51:31.126Z
activity, -27.5005359, -48.5139541, 2023-04-29T15:46:56.414Z
activity, -27.5014934, -48.5136985, 2023-04-29T15:46:56.414Z
activity, -27.4999008, -48.5115814, 2023-04-29T15:46:56.414Z
activity, -27.499649, -48.5148849, 2023-04-29T20:55:00Z
activity, -27.5780162, -48.5209197, 2023-04-29T20:55:00Z
activity, -27.5933933, -48.5447387, 2023-04-29T20:55:00Z
activity, -27.5980129, -48.5481529, 2023-04-29T20:55:00Z
activity, -27.5984058, -48.5516128, 2023-04-29T20:55:00Z
activity, -27.5902366, -48.6087532, 2023-04-29T20:55:00Z
activity, -27.5857238, -48.614479, 2023-04-29T20:55:00Z
activity, -27.5855808, -48.6145515, 2023-04-29T22:44:52Z
activity, -27.5900325, -48.6094474, 2023-04-29T22:44:52Z
activity, -27.6704483, -48.5244712, 2023-04-29T22:44:52Z
activity, -27.682331, -48.5163917, 2023-04-29T22:44:52Z
activity, -27.6878585, -48.499649, 2023-04-29T22:44:52Z
activity, -27.6935691, -48.4993743, 2023-04-29T22:44:52Z
activity, -27.6969394, -48.4997367, 2023-04-29T22:44:52Z
activity, -27.6970195, -48.499752, 2023-04-29T23:31:03.122Z
activity, -27.7153148, -48.5034408, 2023-04-29T23:31:03.122Z
activity, -27.7163448, -48.5038146, 2023-04-29T23:31:03.122Z
activity, -27.7176017, -48.5044975, 2023-04-29T23:31:03.122Z
activity, -27.7134361, -48.5085449, 2023-04-29T23:31:03.122Z
activity, -27.7134342, -48.5084953, 2023-04-30T04:03:47Z
activity, -27.7062587, -48.503395, 2023-04-30T04:03:47Z
activity, -27.6970062, -48.499752, 2023-04-30T04:03:47Z
activity, -27.6970615, -48.4997634, 2023-04-30T22:52:02.134Z
activity, -27.7023715, -48.5001258, 2023-04-30T22:52:02.134Z
activity, -27.7024059, -48.498001, 2023-04-30T22:52:02.134Z
activity, -27.7424254, -48.517344, 2023-04-01T14:14:14.453Z
activity, -27.7423955, -48.5171992, 2023-04-01T14:14:55.801Z
activity, -27.7424188, -48.5173899, 2023-04-01T14:15:18.915Z
activity, -27.742983, -48.5179741, 2023-04-01T14:16:33.517Z
activity, -27.7436966, -48.5185656, 2023-04-01T14:18:05.521Z
activity, -27.7437613, -48.5191848, 2023-04-01T14:19:01.126Z
activity, -27.744349, -48.5194698, 2023-04-01T14:20:17.532Z
activity, -27.7451027, -48.5201286, 2023-04-01T14:21:55.514Z
